id_concentrateur;id_constructeur
K00000001;CONST0001
K00000002;CONST0002
K00000003;CONST0003
K00000004;CONST0004
K00000005;CONST0005
K00000006;CONST0006
K00000007;CONST0007
K00000008;CONST0008
K00000009;CONST0009
K00000010;CONST0010
K00000011;CONST0011
K00000012;CONST0012
K00000013;CONST0013
K00000014;CONST0014
K00000015;CONST0015
K00000016;CONST0016
K00000017;CONST0017
K00000018;CONST0018
K00000019;CONST0019
K00000020;CONST0020
K00000021;CONST0021
K00000022;CONST0022
K00000023;CONST0023
K00000024;CONST0024
K00000025;CONST0025
K00000026;CONST0026
K00000027;CONST0027
K00000028;CONST0028
K00000029;CONST0029
K00000030;CONST0030
K00000031;CONST0031
K00000032;CONST0032
K00000033;CONST0033
K00000034;CONST0034
K00000035;CONST0035
K00000036;CONST0036
K00000037;CONST0037
K00000038;CONST0038
K00000039;CONST0039
K00000040;CONST0040
K00000041;CONST0041
K00000042;CONST0042
K00000043;CONST0043
K00000044;CONST0044
K00000045;CONST0045
K00000046;CONST0046
K00000047;CONST0047
K00000048;CONST0048
K00000049;CONST0049
K00000050;CONST0050
K00000051;CONST0051
K00000052;CONST0052
K00000053;CONST0053
K00000054;CONST0054
K00000055;CONST0055
K00000056;CONST0056
K00000057;CONST0057
K00000058;CONST0058
K00000059;CONST0059
K00000060;CONST0060
K00000061;CONST0061
K00000062;CONST0062
K00000063;CONST0063
K00000064;CONST0064
K00000065;CONST0065
K00000066;CONST0066
K00000067;CONST0067
K00000068;CONST0068
K00000069;CONST0069
K00000070;CONST0070
K00000071;CONST0071
K00000072;CONST0072
K00000073;CONST0073
K00000074;CONST0074
K00000075;CONST0075
K00000076;CONST0076
K00000077;CONST0077
K00000078;CONST0078
K00000079;CONST0079
K00000080;CONST0080
K00000081;CONST0081
K00000082;CONST0082
K00000083;CONST0083
K00000084;CONST0084
K00000085;CONST0085
K00000086;CONST0086
K00000087;CONST0087
K00000088;CONST0088
K00000089;CONST0089
K00000090;CONST0090
K00000091;CONST0091
K00000092;CONST0092
K00000093;CONST0093
K00000094;CONST0094
K00000095;CONST0095
K00000096;CONST0096
K00000097;CONST0097
K00000098;CONST0098
K00000099;CONST0099
K00000100;CONST0100
K00000101;CONST0101
K00000102;CONST0102
K00000103;CONST0103
K00000104;CONST0104
K00000105;CONST0105
K00000106;CONST0106
K00000107;CONST0107
K00000108;CONST0108
K00000109;CONST0109
K00000110;CONST0110
K00000111;CONST0111
K00000112;CONST0112
