pdc;id_compteur;date_debut;date_fin
linky0001;C00000001;2019-10-01 00:00:00;2019-10-17 00:00:00
linky0002;C00000002;2019-10-02 00:00:00;2019-10-18 00:00:00
linky0003;C00000003;2019-10-03 00:00:00;2019-10-19 00:00:00
linky0004;C00000004;2019-10-04 00:00:00;2019-10-20 00:00:00
linky0005;C00000005;2019-10-05 00:00:00;2019-10-21 00:00:00
linky0006;C00000006;2019-10-06 00:00:00;2019-10-22 00:00:00
linky0007;C00000007;2019-10-07 00:00:00;2019-10-23 00:00:00
linky0008;C00000008;2019-10-08 00:00:00;2019-10-24 00:00:00
linky0009;C00000009;2019-10-09 00:00:00;2019-10-25 00:00:00
linky0010;C00000010;2019-10-10 00:00:00;2019-10-26 00:00:00
linky0011;C00000011;2019-10-11 00:00:00;2019-10-27 00:00:00
linky0012;C00000012;2019-10-12 00:00:00;2019-10-28 00:00:00
linky0013;C00000013;2019-10-13 00:00:00;2019-10-29 00:00:00
linky0014;C00000014;2019-10-14 00:00:00;2019-10-30 00:00:00
linky0015;C00000015;2019-10-15 00:00:00;2019-10-31 00:00:00
linky0016;C00000016;2019-10-16 00:00:00;2019-11-01 00:00:00
linky0017;C00000017;2019-10-17 00:00:00;2019-11-02 00:00:00
linky0018;C00000018;2019-10-18 00:00:00;2019-11-03 00:00:00
linky0019;C00000019;2019-10-19 00:00:00;2019-11-04 00:00:00
linky0020;C00000020;2019-10-20 00:00:00;2019-11-05 00:00:00
linky0021;C00000021;2019-10-21 00:00:00;2019-11-06 00:00:00
linky0022;C00000022;2019-10-22 00:00:00;2019-11-07 00:00:00
linky0023;C00000023;2019-10-23 00:00:00;2019-11-08 00:00:00
linky0024;C00000024;2019-10-24 00:00:00;2019-11-09 00:00:00
linky0025;C00000025;2019-10-25 00:00:00;2019-11-10 00:00:00
linky0026;C00000026;2019-10-26 00:00:00;2019-11-11 00:00:00
linky0027;C00000027;2019-10-27 00:00:00;2019-11-12 00:00:00
linky0028;C00000028;2019-10-28 00:00:00;2019-11-13 00:00:00
linky0029;C00000029;2019-10-29 00:00:00;2019-11-14 00:00:00
linky0030;C00000030;2019-10-30 00:00:00;2019-11-15 00:00:00
linky0031;C00000031;2019-10-31 00:00:00;2019-11-16 00:00:00
linky0032;C00000032;2019-11-01 00:00:00;2019-11-17 00:00:00
linky0033;C00000033;2019-11-02 00:00:00;2019-11-18 00:00:00
linky0034;C00000034;2019-11-03 00:00:00;2019-11-19 00:00:00
linky0035;C00000035;2019-11-04 00:00:00;2019-11-20 00:00:00
linky0036;C00000036;2019-11-05 00:00:00;2019-11-21 00:00:00
linky0037;C00000037;2019-11-06 00:00:00;2019-11-22 00:00:00
linky0038;C00000038;2019-11-07 00:00:00;2019-11-23 00:00:00
linky0039;C00000039;2019-11-08 00:00:00;2019-11-24 00:00:00
linky0040;C00000040;2019-11-09 00:00:00;2019-11-25 00:00:00
linky0041;C00000041;2019-11-10 00:00:00;2019-11-26 00:00:00
linky0042;C00000042;2019-11-11 00:00:00;2019-11-27 00:00:00
linky0043;C00000043;2019-11-12 00:00:00;2019-11-28 00:00:00
linky0044;C00000044;2019-11-13 00:00:00;2019-11-29 00:00:00
linky0045;C00000045;2019-11-14 00:00:00;2019-11-30 00:00:00
linky0046;C00000046;2019-11-15 00:00:00;2019-12-01 00:00:00
linky0047;C00000047;2019-11-16 00:00:00;2019-12-02 00:00:00
linky0048;C00000048;2019-11-17 00:00:00;2019-12-03 00:00:00
linky0049;C00000049;2019-11-18 00:00:00;2019-12-04 00:00:00
linky0050;C00000050;2019-11-19 00:00:00;2019-12-05 00:00:00
linky0051;C00000051;2019-11-20 00:00:00;2019-12-06 00:00:00
linky0052;C00000052;2019-11-21 00:00:00;2019-12-07 00:00:00
linky0053;C00000053;2019-11-22 00:00:00;2019-12-08 00:00:00
linky0054;C00000054;2019-11-23 00:00:00;2019-12-09 00:00:00
linky0055;C00000055;2019-11-24 00:00:00;2019-12-10 00:00:00
linky0056;C00000056;2019-11-25 00:00:00;2019-12-11 00:00:00
linky0057;C00000057;2019-11-26 00:00:00;2019-12-12 00:00:00
linky0058;C00000058;2019-11-27 00:00:00;2019-12-13 00:00:00
linky0059;C00000059;2019-11-28 00:00:00;2019-12-14 00:00:00
linky0060;C00000060;2019-11-29 00:00:00;2019-12-15 00:00:00
linky0061;C00000061;2019-11-30 00:00:00;2019-12-16 00:00:00
linky0062;C00000062;2019-12-01 00:00:00;2019-12-17 00:00:00
linky0063;C00000063;2019-12-02 00:00:00;2019-12-18 00:00:00
linky0064;C00000064;2019-12-03 00:00:00;2019-12-19 00:00:00
linky0065;C00000065;2019-12-04 00:00:00;2019-12-20 00:00:00
linky0066;C00000066;2019-12-05 00:00:00;2019-12-21 00:00:00
linky0067;C00000067;2019-12-06 00:00:00;2019-12-22 00:00:00
linky0068;C00000068;2019-12-07 00:00:00;2019-12-23 00:00:00
linky0069;C00000069;2019-12-08 00:00:00;2019-12-24 00:00:00
linky0070;C00000070;2019-12-09 00:00:00;2019-12-25 00:00:00
linky0071;C00000071;2019-12-10 00:00:00;2019-12-26 00:00:00
linky0072;C00000072;2019-12-11 00:00:00;2019-12-27 00:00:00
linky0073;C00000073;2019-12-12 00:00:00;2019-12-28 00:00:00
linky0074;C00000074;2019-12-13 00:00:00;2019-12-29 00:00:00
linky0075;C00000075;2019-12-14 00:00:00;2019-12-30 00:00:00
linky0076;C00000076;2019-12-15 00:00:00;2019-12-31 00:00:00
linky0077;C00000077;2019-12-16 00:00:00;2020-01-01 00:00:00
linky0078;C00000078;2019-12-17 00:00:00;2020-01-02 00:00:00
linky0079;C00000079;2019-12-18 00:00:00;2020-01-03 00:00:00
linky0080;C00000080;2019-12-19 00:00:00;2020-01-04 00:00:00
linky0081;C00000081;2019-12-20 00:00:00;2020-01-05 00:00:00
linky0082;C00000082;2019-12-21 00:00:00;2020-01-06 00:00:00
linky0083;C00000083;2019-12-22 00:00:00;2020-01-07 00:00:00
linky0084;C00000084;2019-12-23 00:00:00;2020-01-08 00:00:00
linky0085;C00000085;2019-12-24 00:00:00;2020-01-09 00:00:00
linky0086;C00000086;2019-12-25 00:00:00;2020-01-10 00:00:00
linky0087;C00000087;2019-12-26 00:00:00;2020-01-11 00:00:00
linky0088;C00000088;2019-12-27 00:00:00;2020-01-12 00:00:00
linky0089;C00000089;2019-12-28 00:00:00;2020-01-13 00:00:00
linky0090;C00000090;2019-12-29 00:00:00;2020-01-14 00:00:00
linky0091;C00000091;2019-12-30 00:00:00;2020-01-15 00:00:00
linky0092;C00000092;2019-12-31 00:00:00;2020-01-16 00:00:00
linky0093;C00000093;2020-01-01 00:00:00;2020-01-17 00:00:00
linky0094;C00000094;2020-01-02 00:00:00;2020-01-18 00:00:00
linky0095;C00000095;2020-01-03 00:00:00;2020-01-19 00:00:00
linky0096;C00000096;2020-01-04 00:00:00;2020-01-20 00:00:00
linky0097;C00000097;2020-01-05 00:00:00;2020-01-21 00:00:00
linky0098;C00000098;2020-01-06 00:00:00;2020-01-22 00:00:00
linky0099;C00000099;2020-01-07 00:00:00;2020-01-23 00:00:00
linky0100;C00000100;2020-01-08 00:00:00;2020-01-24 00:00:00
linky0101;C00000101;2020-01-09 00:00:00;2020-01-25 00:00:00
linky0102;C00000102;2020-01-10 00:00:00;2020-01-26 00:00:00
linky0103;C00000103;2020-01-11 00:00:00;2020-01-27 00:00:00
linky0104;C00000104;2020-01-12 00:00:00;2020-01-28 00:00:00
linky0105;C00000105;2020-01-13 00:00:00;2020-01-29 00:00:00
linky0106;C00000106;2020-01-14 00:00:00;2020-01-30 00:00:00
linky0107;C00000107;2020-01-15 00:00:00;2020-01-31 00:00:00
linky0108;C00000108;2020-01-16 00:00:00;2020-02-01 00:00:00
linky0109;C00000109;2020-01-17 00:00:00;2020-02-02 00:00:00
linky0110;C00000110;2020-01-18 00:00:00;2020-02-03 00:00:00
linky0111;C00000111;2020-01-19 00:00:00;2020-02-04 00:00:00
linky0112;C00000112;2020-01-20 00:00:00;2020-02-05 00:00:00
linky0113;C00000113;2020-01-21 00:00:00;2020-02-06 00:00:00
linky0114;C00000114;2020-01-22 00:00:00;2020-02-07 00:00:00
linky0115;C00000115;2020-01-23 00:00:00;2020-02-08 00:00:00
linky0116;C00000116;2020-01-24 00:00:00;2020-02-09 00:00:00
linky0117;C00000117;2020-01-25 00:00:00;2020-02-10 00:00:00
linky0118;C00000118;2020-01-26 00:00:00;2020-02-11 00:00:00
linky0119;C00000119;2020-01-27 00:00:00;2020-02-12 00:00:00
linky0120;C00000120;2020-01-28 00:00:00;2020-02-13 00:00:00
linky0121;C00000121;2020-01-29 00:00:00;2020-02-14 00:00:00
linky0122;C00000122;2020-01-30 00:00:00;2020-02-15 00:00:00
linky0123;C00000123;2020-01-31 00:00:00;2020-02-16 00:00:00
linky0124;C00000124;2020-02-01 00:00:00;2020-02-17 00:00:00
linky0125;C00000125;2020-02-02 00:00:00;2020-02-18 00:00:00
linky0126;C00000126;2020-02-03 00:00:00;2020-02-19 00:00:00
linky0127;C00000127;2020-02-04 00:00:00;2020-02-20 00:00:00
linky0128;C00000128;2020-02-05 00:00:00;2020-02-21 00:00:00
linky0129;C00000129;2020-02-06 00:00:00;2020-02-22 00:00:00
linky0130;C00000130;2020-02-07 00:00:00;2020-02-23 00:00:00
linky0131;C00000131;2020-02-08 00:00:00;2020-02-24 00:00:00
linky0132;C00000132;2020-02-09 00:00:00;2020-02-25 00:00:00
linky0133;C00000133;2020-02-10 00:00:00;2020-02-26 00:00:00
linky0134;C00000134;2020-02-11 00:00:00;2020-02-27 00:00:00
linky0135;C00000135;2020-02-12 00:00:00;2020-02-28 00:00:00
linky0136;C00000136;2020-02-13 00:00:00;2020-02-29 00:00:00
linky0137;C00000137;2020-02-14 00:00:00;2020-03-01 00:00:00
linky0138;C00000138;2020-02-15 00:00:00;2020-03-02 00:00:00
linky0139;C00000139;2020-02-16 00:00:00;2020-03-03 00:00:00
linky0140;C00000140;2020-02-17 00:00:00;2020-03-04 00:00:00
linky0141;C00000141;2020-02-18 00:00:00;2020-03-05 00:00:00
linky0142;C00000142;2020-02-19 00:00:00;2020-03-06 00:00:00
linky0143;C00000143;2020-02-20 00:00:00;2020-03-07 00:00:00
linky0144;C00000144;2020-02-21 00:00:00;2020-03-08 00:00:00
linky0145;C00000145;2020-02-22 00:00:00;2020-03-09 00:00:00
linky0146;C00000146;2020-02-23 00:00:00;2020-03-10 00:00:00
linky0147;C00000147;2020-02-24 00:00:00;2020-03-11 00:00:00
linky0148;C00000148;2020-02-25 00:00:00;2020-03-12 00:00:00
linky0149;C00000149;2020-02-26 00:00:00;2020-03-13 00:00:00
linky0150;C00000150;2020-02-27 00:00:00;2020-03-14 00:00:00
linky0151;C00000151;2020-02-28 00:00:00;2020-03-15 00:00:00
linky0152;C00000152;2020-02-29 00:00:00;2020-03-16 00:00:00
linky0153;C00000153;2020-03-01 00:00:00;2020-03-17 00:00:00
linky0154;C00000154;2020-03-02 00:00:00;2020-03-18 00:00:00
linky0155;C00000155;2020-03-03 00:00:00;2020-03-19 00:00:00
linky0156;C00000156;2020-03-04 00:00:00;2020-03-20 00:00:00
linky0157;C00000157;2020-03-05 00:00:00;2020-03-21 00:00:00
linky0158;C00000158;2020-03-06 00:00:00;2020-03-22 00:00:00
linky0159;C00000159;2020-03-07 00:00:00;2020-03-23 00:00:00
linky0160;C00000160;2020-03-08 00:00:00;2020-03-24 00:00:00
linky0161;C00000161;2020-03-09 00:00:00;2020-03-25 00:00:00
linky0162;C00000162;2020-03-10 00:00:00;2020-03-26 00:00:00
linky0163;C00000163;2020-03-11 00:00:00;2020-03-27 00:00:00
linky0164;C00000164;2020-03-12 00:00:00;2020-03-28 00:00:00
linky0165;C00000165;2020-03-13 00:00:00;2020-03-29 00:00:00
linky0166;C00000166;2020-03-14 00:00:00;2020-03-30 00:00:00
linky0167;C00000167;2020-03-15 00:00:00;2020-03-31 00:00:00
linky0168;C00000168;2020-03-16 00:00:00;2020-04-01 00:00:00
linky0169;C00000169;2020-03-17 00:00:00;2020-04-02 00:00:00
linky0170;C00000170;2020-03-18 00:00:00;2020-04-03 00:00:00
linky0171;C00000171;2020-03-19 00:00:00;2020-04-04 00:00:00
linky0172;C00000172;2020-03-20 00:00:00;2020-04-05 00:00:00
linky0173;C00000173;2020-03-21 00:00:00;2020-04-06 00:00:00
linky0174;C00000174;2020-03-22 00:00:00;2020-04-07 00:00:00
linky0175;C00000175;2020-03-23 00:00:00;2020-04-08 00:00:00
linky0176;C00000176;2020-03-24 00:00:00;2020-04-09 00:00:00
linky0177;C00000177;2020-03-25 00:00:00;2020-04-10 00:00:00
linky0178;C00000178;2020-03-26 00:00:00;2020-04-11 00:00:00
