pdk;id_concentrateur;date_debut;date_fin
pdk0001;K00000001;2018-01-15 00:00:00;2018-03-14 00:00:00
pdk0002;K00000002;2018-01-16 00:00:00;2018-03-15 00:00:00
pdk0003;K00000003;2018-01-17 00:00:00;2018-03-16 00:00:00
pdk0004;K00000004;2018-01-18 00:00:00;2018-03-17 00:00:00
pdk0005;K00000005;2018-01-19 00:00:00;2018-03-18 00:00:00
pdk0006;K00000006;2018-01-20 00:00:00;2018-03-19 00:00:00
pdk0007;K00000007;2018-01-21 00:00:00;2018-03-20 00:00:00
pdk0008;K00000008;2018-01-22 00:00:00;2018-03-21 00:00:00
pdk0009;K00000009;2018-01-23 00:00:00;2018-03-22 00:00:00
pdk0010;K00000010;2018-01-24 00:00:00;2018-03-23 00:00:00
pdk0011;K00000011;2018-01-25 00:00:00;2018-03-24 00:00:00
pdk0012;K00000012;2018-01-26 00:00:00;2018-03-25 00:00:00
pdk0013;K00000013;2018-01-27 00:00:00;2018-03-26 00:00:00
pdk0014;K00000014;2018-01-28 00:00:00;2018-03-27 00:00:00
pdk0015;K00000015;2018-01-29 00:00:00;2018-03-28 00:00:00
pdk0016;K00000016;2018-01-30 00:00:00;2018-03-29 00:00:00
pdk0017;K00000017;2018-01-31 00:00:00;2018-03-30 00:00:00
pdk0018;K00000018;2018-02-01 00:00:00;2018-03-31 00:00:00
pdk0019;K00000019;2018-02-02 00:00:00;2018-04-01 00:00:00
pdk0020;K00000020;2018-02-03 00:00:00;2018-04-02 00:00:00
pdk0021;K00000021;2018-02-04 00:00:00;2018-04-03 00:00:00
pdk0022;K00000022;2018-02-05 00:00:00;2018-04-04 00:00:00
pdk0023;K00000023;2018-02-06 00:00:00;2018-04-05 00:00:00
pdk0024;K00000024;2018-02-07 00:00:00;2018-04-06 00:00:00
pdk0025;K00000025;2018-02-08 00:00:00;2018-04-07 00:00:00
pdk0026;K00000026;2018-02-09 00:00:00;2018-04-08 00:00:00
pdk0027;K00000027;2018-02-10 00:00:00;2018-04-09 00:00:00
pdk0028;K00000028;2018-02-11 00:00:00;2018-04-10 00:00:00
pdk0029;K00000029;2018-02-12 00:00:00;2018-04-11 00:00:00
pdk0030;K00000030;2018-02-13 00:00:00;2018-04-12 00:00:00
pdk0031;K00000031;2018-02-14 00:00:00;2018-04-13 00:00:00
pdk0032;K00000032;2018-02-15 00:00:00;2018-04-14 00:00:00
pdk0033;K00000033;2018-02-16 00:00:00;2018-04-15 00:00:00
pdk0034;K00000034;2018-02-17 00:00:00;2018-04-16 00:00:00
pdk0035;K00000035;2018-02-18 00:00:00;2018-04-17 00:00:00
pdk0036;K00000036;2018-02-19 00:00:00;2018-04-18 00:00:00
pdk0037;K00000037;2018-02-20 00:00:00;2018-04-19 00:00:00
pdk0038;K00000038;2018-02-21 00:00:00;2018-04-20 00:00:00
pdk0039;K00000039;2018-02-22 00:00:00;2018-04-21 00:00:00
pdk0040;K00000040;2018-02-23 00:00:00;2018-04-22 00:00:00
pdk0041;K00000041;2018-02-24 00:00:00;2018-04-23 00:00:00
pdk0042;K00000042;2018-02-25 00:00:00;2018-04-24 00:00:00
pdk0043;K00000043;2018-02-26 00:00:00;2018-04-25 00:00:00
pdk0044;K00000044;2018-02-27 00:00:00;2018-04-26 00:00:00
pdk0045;K00000045;2018-02-28 00:00:00;2018-04-27 00:00:00
pdk0046;K00000046;2018-03-01 00:00:00;2018-04-28 00:00:00
pdk0047;K00000047;2018-03-02 00:00:00;2018-04-29 00:00:00
pdk0048;K00000048;2018-03-03 00:00:00;2018-04-30 00:00:00
pdk0049;K00000049;2018-03-04 00:00:00;2018-05-01 00:00:00
pdk0050;K00000050;2018-03-05 00:00:00;2018-05-02 00:00:00
pdk0051;K00000051;2018-03-06 00:00:00;2018-05-03 00:00:00
pdk0052;K00000052;2018-03-07 00:00:00;2018-05-04 00:00:00
pdk0053;K00000053;2018-03-08 00:00:00;2018-05-05 00:00:00
pdk0054;K00000054;2018-03-09 00:00:00;2018-05-06 00:00:00
pdk0055;K00000055;2018-03-10 00:00:00;2018-05-07 00:00:00
pdk0056;K00000056;2018-03-11 00:00:00;2018-05-08 00:00:00
pdk0057;K00000057;2018-03-12 00:00:00;2018-05-09 00:00:00
pdk0058;K00000058;2018-03-13 00:00:00;2018-05-10 00:00:00
pdk0059;K00000059;2018-03-14 00:00:00;2018-05-11 00:00:00
pdk0060;K00000060;2018-03-15 00:00:00;2018-05-12 00:00:00
pdk0061;K00000061;2018-03-16 00:00:00;2018-05-13 00:00:00
pdk0062;K00000062;2018-03-17 00:00:00;2018-05-14 00:00:00
pdk0063;K00000063;2018-03-18 00:00:00;2018-05-15 00:00:00
pdk0064;K00000064;2018-03-19 00:00:00;2018-05-16 00:00:00
pdk0065;K00000065;2018-03-20 00:00:00;2018-05-17 00:00:00
pdk0066;K00000066;2018-03-21 00:00:00;2018-05-18 00:00:00
pdk0067;K00000067;2018-03-22 00:00:00;2018-05-19 00:00:00
pdk0068;K00000068;2018-03-23 00:00:00;2018-05-20 00:00:00
pdk0069;K00000069;2018-03-24 00:00:00;2018-05-21 00:00:00
pdk0070;K00000070;2018-03-25 00:00:00;2018-05-22 00:00:00
pdk0071;K00000071;2018-03-26 00:00:00;2018-05-23 00:00:00
pdk0072;K00000072;2018-03-27 00:00:00;2018-05-24 00:00:00
pdk0073;K00000073;2018-03-28 00:00:00;2018-05-25 00:00:00
pdk0074;K00000074;2018-03-29 00:00:00;2018-05-26 00:00:00
pdk0075;K00000075;2018-03-30 00:00:00;2018-05-27 00:00:00
pdk0076;K00000076;2018-03-31 00:00:00;2018-05-28 00:00:00
pdk0077;K00000077;2018-04-01 00:00:00;2018-05-29 00:00:00
pdk0078;K00000078;2018-04-02 00:00:00;2018-05-30 00:00:00
pdk0079;K00000079;2018-04-03 00:00:00;2018-05-31 00:00:00
pdk0080;K00000080;2018-04-04 00:00:00;2018-06-01 00:00:00
pdk0081;K00000081;2018-04-05 00:00:00;2018-06-02 00:00:00
pdk0082;K00000082;2018-04-06 00:00:00;2018-06-03 00:00:00
pdk0083;K00000083;2018-04-07 00:00:00;2018-06-04 00:00:00
pdk0084;K00000084;2018-04-08 00:00:00;2018-06-05 00:00:00
pdk0085;K00000085;2018-04-09 00:00:00;2018-06-06 00:00:00
pdk0086;K00000086;2018-04-10 00:00:00;2018-06-07 00:00:00
pdk0087;K00000087;2018-04-11 00:00:00;2018-06-08 00:00:00
pdk0088;K00000088;2018-04-12 00:00:00;2018-06-09 00:00:00
pdk0089;K00000089;2018-04-13 00:00:00;2018-06-10 00:00:00
pdk0090;K00000090;2018-04-14 00:00:00;2018-06-11 00:00:00
pdk0091;K00000091;2018-04-15 00:00:00;2018-06-12 00:00:00
pdk0092;K00000092;2018-04-16 00:00:00;2018-06-13 00:00:00
pdk0093;K00000093;2018-04-17 00:00:00;2018-06-14 00:00:00
pdk0094;K00000094;2018-04-18 00:00:00;2018-06-15 00:00:00
pdk0095;K00000095;2018-04-19 00:00:00;2018-06-16 00:00:00
pdk0096;K00000096;2018-04-20 00:00:00;2018-06-17 00:00:00
pdk0097;K00000097;2018-04-21 00:00:00;2018-06-18 00:00:00
pdk0098;K00000098;2018-04-22 00:00:00;2018-06-19 00:00:00
pdk0099;K00000099;2018-04-23 00:00:00;2018-06-20 00:00:00
pdk0100;K00000100;2018-04-24 00:00:00;2018-06-21 00:00:00
pdk0101;K00000101;2018-04-25 00:00:00;2018-06-22 00:00:00
pdk0102;K00000102;2018-04-26 00:00:00;2018-06-23 00:00:00
pdk0103;K00000103;2018-04-27 00:00:00;2018-06-24 00:00:00
pdk0104;K00000104;2018-04-28 00:00:00;2018-06-25 00:00:00
pdk0105;K00000105;2018-04-29 00:00:00;2018-06-26 00:00:00
pdk0106;K00000106;2018-04-30 00:00:00;2018-06-27 00:00:00
pdk0107;K00000107;2018-05-01 00:00:00;2018-06-28 00:00:00
